#スプレッドシートで計算
#tone:5001 start:500nm end:3950nm delta_n:0.5
#thickness,hex_color_code
1085.12,7500A7
1085.81,7500A8
1086.5,7400A8
1087.19,7400A9
1087.88,7300A9
1088.57,7300AA
1089.26,7200AA
1089.95,7200AB
1090.64,7100AB
1091.33,7100AB
1092.02,7000AC
1092.71,7000AC
1093.4,6F00AD
1094.09,6F00AD
1094.78,6E00AE
1095.47,6D00AE
1096.16,6D00AF
1096.85,6C00AF
1097.54,6C00B0
1098.23,6B00B0
1098.92,6B00B1
1099.61,6A00B1
1100.3,6A00B1
1100.99,6900B2
1101.68,6800B2
1102.37,6800B3
1103.06,6700B3
1103.75,6700B4
1104.44,6600B4
1105.13,6500B5
1105.82,6500B5
1106.51,6400B5
1107.2,6400B6
1107.89,6300B6
1108.58,6300B7
1109.27,6200B7
1109.96,6100B8
1110.65,6100B8
1111.34,6000B8
1112.03,5F00B9
1112.72,5F00B9
1113.41,5E00BA
1114.1,5E00BA
1114.79,5D00BB
1115.48,5C00BB
1116.17,5C00BB
1116.86,5B00BC
1117.55,5A00BC
1118.24,5A00BD
1118.93,5900BD
1119.62,5900BE
1120.31,5800BE
1121,5700BE
1121.69,5700BF
1122.38,5600BF
1123.07,5500C0
1123.76,5400C0
1124.45,5400C0
1125.14,5300C1
1125.83,5200C1
1126.52,5200C2
1127.21,5101C2
1127.9,5003C2
1128.59,5005C3
1129.28,4F07C3
1129.97,4E09C4
1130.66,4D0AC4
1131.35,4D0CC4
1132.04,4C0EC5
1132.73,4B0FC5
1133.42,4A11C6
1134.11,4A12C6
1134.8,4913C6
1135.49,4815C7
1136.18,4716C7
1136.87,4717C7
1137.56,4618C8
1138.25,4519C8
1138.94,441AC9
1139.63,431BC9
1140.32,421CC9
1141.01,421DCA
1141.7,411ECA
1142.39,401FCB
1143.08,3F20CB
1143.77,3E21CB
1144.46,3D22CC
1145.15,3C23CC
1145.84,3B24CC
1146.53,3A25CD
1147.22,3A26CD
1147.91,3927CD
1148.6,3827CE
1149.29,3728CE
1149.98,3629CF
1150.67,352ACF
1151.36,342BCF
1152.05,322BD0
1152.74,312CD0
1153.43,302DD0
1154.12,2F2ED1
1154.81,2E2FD1
1155.5,2D2FD1
1156.19,2C30D2
1156.88,2A31D2
1157.57,2932D2
1158.26,2832D3
1158.95,2633D3
1159.64,2534D3
1160.33,2334D4
1161.02,2235D4
1161.71,2036D5
1162.4,1F37D5
1163.09,1D37D5
1163.78,1B38D6
1164.47,1939D6
1165.16,1739D6
